"SiteName","-30","-29","-28","-27","-26","-25","-24","-23","-22","-21","-20","-19","-18","-17","-16","-15","-14","-13","-12","-11","-10","-9","-8","-7","-6","-5","-4","-3","-2","-1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59"
"Site_28",0.32,0.03,0,0.71,0.27,0.27,0.29,0.34,0.27,0.26,0.26,0.27,0.29,0.11,0.17,0.17,0.06,0.7,0.29,0.1,0.02,0.1,0.29,0.41,0.53,0.63,0.34,0.03,0,0.26,0.12,0.01,0.25,0.09,0.07,0.12,0.46,0.4,0.02,0.05,0.55,0.57,0.26,0.2,0.24,0.53,0.55,0.46,0.34,0.26,0.21,0.43,0.6,0.09,0.02,0.68,0.3,0.41,0.45,0.18,0.12,0.56,0.49,0.3,0.12,0.02,0.28,0.15,0.06,0.03,1.22,0.89,0.6,0.15,0.2,0.21,0.05,0.67,0.72,0.42,0.43,0.24,0.21,0.26,0.38,0.15,0.84,0.74,0.4,0.4
"Site_29",0.27,0.33,0.44,0.52,0,0.56,0.72,0.62,0.08,0.24,0.28,0.01,0.39,0.63,0.3,0.31,0.36,0.13,0.06,0.55,0.35,0.11,0.03,0.36,0.15,0.3,0.44,0.25,0.19,0.18,0.28,0.25,0.21,0.27,0.11,0.33,0.32,0.3,0.11,0.34,0.33,0.06,0.04,0.07,0.44,0.37,0.16,0.05,0.13,0.17,1.04,0.88,0.07,0.01,0.48,0.65,0.48,0.61,0.62,0.6,0.46,0.24,0.03,0.17,0.3,0.01,0.19,0.36,0.1,0.22,0.01,0.03,0.01,0.47,0.79,0.16,0.01,0.11,0.04,0.12,0,0,0.11,1.09,0.03,0.32,0.02,0.02,0.68,0.23
"Site_30",0.21,0.01,0.01,0.64,0.35,0.25,0.44,0.39,0.27,0.32,0.14,0.36,0.33,0.24,0.35,0.12,0.04,0.56,0.37,0.07,0,0.06,0.34,0.51,0.87,0.78,0.31,0.02,0.08,0.36,0.03,0.06,0.32,0.04,0.08,0.09,0.52,0.23,0.01,0.02,0.48,0.62,0.31,0.24,0.28,0.65,0.67,0.53,0.24,0.22,0.23,0.45,0.62,0.02,0.02,0.84,0.34,0.45,0.51,0.03,0.17,0.6,0.54,0.3,0.08,0.08,0.55,0,0.04,0.04,1.31,1,0.68,0.09,0.09,0.23,0.02,0.62,0.66,0.33,0.38,0.05,0.2,0.27,0.13,0.05,0.67,0.69,0.48,0.51
"Site_31",0.2,0.94,0.98,0.76,0.15,0.47,1.11,1.27,0.05,0.26,0.22,0,0.31,1.05,0.31,0.52,0.72,0.14,0.08,0.66,0.58,0.1,0,0.51,0.23,1.01,0.5,0.27,0.22,0.29,0.35,0.34,0.25,0.34,0.04,0.2,0.27,0.27,0,0.26,0.58,0.24,0,0,0.42,0.24,0.14,0.02,0.26,0.18,0.88,0.99,0.02,0,0.25,0.74,0.82,1.19,0.38,0.31,0.18,0.08,0,0,0.37,0.18,0.05,0.62,0.01,0.34,0.42,0,0,0.25,1.19,0.08,0.15,0.01,0.07,0.16,0.26,0,0,1.45,0.08,0.17,0,0.01,1.46,0.16
"Site_32",0.17,0.32,0.2,0.43,0.01,0.86,0.34,0.26,0.11,0.2,0.23,0.09,0.29,0.32,0.23,0.2,0.38,0.05,0.09,0.41,0.18,0.01,0.04,0.24,0.2,0.28,0.22,0.12,0.11,0.16,0.18,0.17,0.15,0.18,0.06,0.07,0.12,0.18,0.22,0.26,0.16,0.07,0.07,0.07,0.23,0.26,0.11,0.11,0.31,0.16,0.5,0.49,0.04,0,0.5,0.25,0.19,0.56,0.45,0.53,0.26,0.32,0.09,0.23,0.25,0.02,0.22,0.24,0.14,0.36,0.18,0.01,0.02,0.61,0.53,0.26,0.11,0.36,0.17,0.41,0.03,0.1,0.01,0.61,0.1,0.33,0.11,0.1,0.81,0.11
"Site_33",0.13,0,0,0.8,0.72,0.36,0.28,0.5,0.36,0.4,0.17,0.48,0.29,0.24,0.29,0.13,0.01,0.23,0.42,0.03,0,0,0.46,0.41,0.61,0.75,0.43,0,0.01,0.67,0.04,0.01,0.81,0.02,0.09,0.1,0.04,0.41,0,0.01,0.17,0.69,0.31,0.26,0.41,0.9,0.6,1.05,0.08,0.28,0.02,0.31,0.38,0,0,1.45,0.39,0.49,0.69,0,0,0.73,0.57,0.38,0.19,0.07,0.85,0.09,0.01,0.01,1.65,1.31,0.82,0.02,0,0.36,0.01,0.55,1.2,0.45,0.76,0.16,0.08,0.56,1.18,0.02,0.35,0.8,0.73,1
"Site_34",0.31,0.37,0.49,0.61,0,0.57,0.89,0.66,0.06,0.27,0.3,0,0.45,0.71,0.29,0.38,0.4,0.11,0.07,0.69,0.42,0.09,0.02,0.41,0.17,0.37,0.47,0.29,0.2,0.21,0.33,0.29,0.23,0.36,0.13,0.33,0.33,0.3,0.1,0.43,0.43,0.1,0.02,0.07,0.47,0.35,0.16,0.04,0.12,0.13,1.09,0.98,0.07,0.02,0.47,0.73,0.54,0.77,0.68,0.51,0.43,0.2,0.02,0.14,0.3,0.01,0.15,0.36,0.08,0.22,0.01,0.02,0,0.42,0.83,0.11,0.01,0.05,0.02,0.08,0,0.01,0.06,1.25,0.01,0.27,0.01,0.02,0.71,0.17
"Site_35",0.23,0.01,0.01,0.61,0.36,0.27,0.42,0.38,0.24,0.32,0.1,0.38,0.33,0.26,0.33,0.1,0.03,0.58,0.34,0.05,0,0.03,0.33,0.52,0.9,0.84,0.32,0.01,0.04,0.34,0.03,0.03,0.32,0.02,0.07,0.07,0.42,0.18,0,0.01,0.41,0.61,0.31,0.23,0.28,0.68,0.68,0.52,0.2,0.22,0.21,0.44,0.62,0.01,0.01,0.8,0.32,0.48,0.53,0.01,0.16,0.66,0.61,0.29,0.05,0.1,0.65,0,0.02,0.02,1.43,1.09,0.72,0.06,0.06,0.24,0.02,0.62,0.65,0.32,0.4,0.02,0.16,0.28,0.11,0.04,0.65,0.69,0.53,0.51
"Site_36",0.4,0.04,0.03,0.68,0.26,0.25,0.33,0.34,0.27,0.27,0.27,0.27,0.28,0.07,0.2,0.2,0.13,0.75,0.29,0.11,0.02,0.12,0.28,0.41,0.55,0.59,0.31,0,0.03,0.23,0.11,0,0.24,0.1,0.08,0.12,0.47,0.38,0.02,0.07,0.56,0.59,0.28,0.21,0.24,0.5,0.55,0.44,0.36,0.24,0.21,0.44,0.61,0.1,0.03,0.68,0.31,0.41,0.47,0.19,0.16,0.56,0.51,0.29,0.14,0.04,0.3,0.17,0.06,0.03,1.13,0.91,0.61,0.16,0.21,0.21,0.05,0.66,0.69,0.42,0.43,0.25,0.16,0.27,0.38,0.14,0.79,0.73,0.38,0.37
"Site_37",0.28,0.02,0,0.71,0.26,0.26,0.28,0.33,0.27,0.26,0.25,0.27,0.29,0.08,0.17,0.14,0.01,0.71,0.3,0.08,0.01,0.09,0.29,0.4,0.53,0.62,0.31,0.01,0,0.23,0.1,0,0.22,0.08,0.05,0.07,0.47,0.38,0.01,0.05,0.54,0.59,0.26,0.2,0.25,0.54,0.57,0.47,0.33,0.25,0.2,0.42,0.61,0.08,0.01,0.67,0.29,0.42,0.44,0.17,0.12,0.57,0.48,0.3,0.12,0.01,0.3,0.12,0.05,0.03,1.28,0.94,0.6,0.1,0.19,0.2,0.05,0.65,0.74,0.39,0.38,0.2,0.24,0.27,0.39,0.13,0.84,0.76,0.41,0.41
