"SiteName","-30","-29","-28","-27","-26","-25","-24","-23","-22","-21","-20","-19","-18","-17","-16","-15","-14","-13","-12","-11","-10","-9","-8","-7","-6","-5","-4","-3","-2","-1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59"
"Site_28",0.03,0.69,0.05,0,0,0,0.01,0,0,0,0.02,0,0,0,0,0.23,0.48,0,0,0.01,1.9,0.01,0,0,0,0,0.13,0.7,0,0,0.41,0.13,0.01,0.24,0,0.25,0.07,0.03,0.22,0.54,0,0,0,0,0,0,0,0,0.04,0.24,1.23,0,0,0.06,2.09,0,0,0,0,0.17,0.32,0,0,0,0.1,0,0,0.09,0.05,0.11,0,0,0,0.89,0.37,0,0.4,0,0,0.01,0,0.25,0.09,0,0,0.66,0,0,0,0
"Site_29",0,0,0,0,1.44,0,0,0,0.85,0,0,1.12,0,0,0,0,0,0.42,0.14,0,0,0.38,0.84,0,0.79,0,0,0,0,0,0,0,0,0,0.86,0,0,0.05,0.08,0,0,0,2.27,0.26,0,0,0.15,0.36,0,0.03,0,0,0.42,1.4,0,0,0,0,0,0,0.15,0.1,0.26,0.07,0.03,1.32,0,0,0.91,0,0.27,0.38,0.39,0,0,0,0,0,0.37,0,0.08,0.09,0,0,0.2,0,0.42,0,0,0.03
"Site_30",0.04,0.69,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.41,0.3,0,0,0.03,2.62,0.02,0,0,0,0,0.1,0.82,0,0,0.73,0.03,0.07,0.3,0,0.23,0,0.13,0.35,0.45,0,0,0,0,0,0,0,0,0.19,0.58,0.96,0,0,0.21,2.21,0,0,0,0,0.64,0.2,0,0,0,0.19,0,0,0.14,0.29,0.02,0,0,0,1.4,0.23,0,0.62,0,0,0.03,0,0.39,0,0,0,1.49,0,0,0,0
"Site_31",0,0,0,0,1.25,0.02,0,0,0.47,0,0,0.77,0,0,0,0,0,0.17,0.13,0,0,0.21,0.77,0,0.73,0,0,0,0,0,0,0,0,0,0.9,0,0,0.07,0.23,0,0,0,1.89,0.33,0,0,0.06,0.21,0,0,0,0,0.25,1.44,0,0,0,0.03,0,0.03,0.12,0.08,0.18,0.09,0.04,1.28,0,0,0.74,0,0.21,0.36,0.09,0,0,0,0,0,0.27,0,0.08,0.22,0,0,0.1,0,0.12,0,0,0
"Site_32",0,0,0,0,0.85,0,0.1,0,0.27,0.01,0.04,0.92,0.08,0,0,0.03,0,0.26,0.27,0.07,0,0.31,0.48,0.06,0.49,0.02,0,0,0.04,0,0,0,0.04,0,0.84,0.06,0,0.02,0.2,0.02,0.01,0.02,1.86,0.32,0,0.02,0.07,0.05,0.01,0,0,0,0.27,0.58,0,0,0,0.05,0,0,0,0,0.11,0,0,0.47,0,0.05,0.87,0,0.13,0.26,0.07,0,0,0,0,0.04,0.19,0.01,0.11,0.18,0.06,0,0.22,0,0.37,0,0,0.03
"Site_33",0.03,0.96,0.23,0,0,0,0,0,0,0,0.03,0,0,0.05,0,0.2,0.55,0,0,0.01,2.1,0,0,0,0,0,0.12,0.66,0,0,0.55,0.11,0,0.17,0,0.4,0.02,0.03,0.34,0.58,0,0,0,0,0,0,0,0,0.08,0.36,1.11,0,0,0.12,1.6,0,0,0.08,0,0.09,0.23,0,0,0.02,0.04,0,0,0.1,0.32,0.08,0,0,0,0.79,0.24,0,0.64,0,0,0,0,0.32,0.02,0,0,0.82,0,0,0,0
"Site_34",0,0,0,0,1.44,0.01,0,0,0.89,0,0,1.16,0,0,0,0,0,0.41,0.13,0,0,0.41,0.86,0,0.8,0,0,0,0,0,0,0,0,0,0.85,0,0,0.05,0.08,0,0,0,2.17,0.25,0,0,0.15,0.35,0,0.02,0,0,0.41,1.38,0,0,0,0.01,0,0,0.15,0.11,0.27,0.07,0.03,1.33,0,0,0.91,0,0.27,0.38,0.37,0,0,0,0,0,0.37,0,0.08,0.09,0,0,0.2,0,0.4,0,0,0.02
"Site_35",0.04,0.66,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.4,0.3,0,0,0.02,2.58,0.03,0,0,0,0,0.1,0.78,0,0,0.72,0.02,0.07,0.29,0,0.24,0,0.12,0.35,0.46,0,0,0,0,0,0,0,0,0.18,0.58,0.95,0,0,0.2,2.15,0,0,0,0,0.63,0.2,0,0,0,0.19,0,0,0.14,0.37,0.02,0,0,0,1.52,0.19,0,0.64,0,0,0.03,0,0.4,0,0,0,1.56,0,0,0,0
"Site_36",0.05,0.65,0.04,0,0,0.01,0,0,0,0,0.03,0,0,0.01,0,0.29,0.36,0,0,0.02,2.01,0.02,0,0,0,0,0.11,0.66,0.01,0,0.57,0.04,0.03,0.23,0,0.23,0.03,0.03,0.24,0.51,0,0,0,0,0,0,0,0,0.03,0.36,1.13,0.01,0,0.07,2.4,0,0,0,0,0.18,0.22,0,0,0.01,0.09,0,0,0.09,0.05,0.1,0,0,0,0.91,0.26,0,0.52,0,0,0.02,0,0.31,0.03,0,0,0.7,0,0,0,0
"Site_37",0.05,0.65,0.05,0,0,0,0,0,0,0,0.03,0,0,0,0,0.25,0.4,0,0,0.01,2.1,0.02,0,0,0,0,0.11,0.64,0.01,0,0.55,0.05,0.03,0.23,0,0.23,0.04,0.05,0.24,0.52,0,0,0,0,0,0,0,0,0.07,0.39,1.13,0.01,0,0.05,2.21,0,0,0,0,0.26,0.28,0,0,0,0.1,0,0,0.08,0.06,0.12,0,0,0,1.01,0.29,0,0.51,0,0,0.02,0,0.31,0.05,0,0,0.78,0,0,0,0
